sheet_name,method,contamination,lower_threshold,upper_threshold,std_dev,metric,t_stat,p_value
SST,threshold,0.1,0.2,1.5,2,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.1,0.2,1.5,2.5,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.1,0.2,1.5,3.0,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.1,0.2,1.8,2,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.1,0.2,1.8,2.5,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.1,0.2,1.8,3.0,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.1,0.2,2.0,2,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.1,0.2,2.0,2.5,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.1,0.2,2.0,3.0,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.1,0.3,1.5,2,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.1,0.3,1.5,2.5,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.1,0.3,1.5,3.0,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.1,0.3,1.8,2,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.1,0.3,1.8,2.5,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.1,0.3,1.8,3.0,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.1,0.3,2.0,2,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.1,0.3,2.0,2.5,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.1,0.3,2.0,3.0,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.1,0.4,1.5,2,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.1,0.4,1.5,2.5,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.1,0.4,1.5,3.0,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.1,0.4,1.8,2,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.1,0.4,1.8,2.5,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.1,0.4,1.8,3.0,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.1,0.4,2.0,2,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.1,0.4,2.0,2.5,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.1,0.4,2.0,3.0,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.2,0.2,1.5,2,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.2,0.2,1.5,2.5,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.2,0.2,1.5,3.0,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.2,0.2,1.8,2,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.2,0.2,1.8,2.5,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.2,0.2,1.8,3.0,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.2,0.2,2.0,2,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.2,0.2,2.0,2.5,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.2,0.2,2.0,3.0,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.2,0.3,1.5,2,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.2,0.3,1.5,2.5,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.2,0.3,1.5,3.0,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.2,0.3,1.8,2,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.2,0.3,1.8,2.5,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.2,0.3,1.8,3.0,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.2,0.3,2.0,2,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.2,0.3,2.0,2.5,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.2,0.3,2.0,3.0,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.2,0.4,1.5,2,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.2,0.4,1.5,2.5,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.2,0.4,1.5,3.0,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.2,0.4,1.8,2,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.2,0.4,1.8,2.5,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.2,0.4,1.8,3.0,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.2,0.4,2.0,2,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.2,0.4,2.0,2.5,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.2,0.4,2.0,3.0,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.3,0.2,1.5,2,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.3,0.2,1.5,2.5,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.3,0.2,1.5,3.0,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.3,0.2,1.8,2,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.3,0.2,1.8,2.5,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.3,0.2,1.8,3.0,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.3,0.2,2.0,2,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.3,0.2,2.0,2.5,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.3,0.2,2.0,3.0,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.3,0.3,1.5,2,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.3,0.3,1.5,2.5,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.3,0.3,1.5,3.0,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.3,0.3,1.8,2,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.3,0.3,1.8,2.5,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.3,0.3,1.8,3.0,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.3,0.3,2.0,2,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.3,0.3,2.0,2.5,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.3,0.3,2.0,3.0,d' (sensitivity index),-1.7758103004367836,0.08037392127565482
SST,threshold,0.3,0.4,1.5,2,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.3,0.4,1.5,2.5,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.3,0.4,1.5,3.0,d' (sensitivity index),-1.9385554086911767,0.05683389387295205
SST,threshold,0.3,0.4,1.8,2,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.3,0.4,1.8,2.5,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.3,0.4,1.8,3.0,d' (sensitivity index),-1.7823938332364215,0.07928438715752809
SST,threshold,0.3,0.4,2.0,2,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.3,0.4,2.0,2.5,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.3,0.4,2.0,3.0,d' (sensitivity index),-1.6856875108812497,0.0965786683433009
SST,threshold,0.4,0.2,1.5,2,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.4,0.2,1.5,2.5,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.4,0.2,1.5,3.0,d' (sensitivity index),-2.0262975812372495,0.0467789905840412
SST,threshold,0.4,0.2,1.8,2,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.4,0.2,1.8,2.5,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.4,0.2,1.8,3.0,d' (sensitivity index),-1.8736584722375138,0.06540574746316855
SST,threshold,0.4,0.2,2.0,2,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.4,0.2,2.0,2.5,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.4,0.2,2.0,3.0,d' (sensitivity index),-1.7691515429158886,0.08148852984127015
SST,threshold,0.4,0.3,1.5,2,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.4,0.3,1.5,2.5,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.4,0.3,1.5,3.0,d' (sensitivity index),-2.038647115299725,0.045494588050135
SST,threshold,0.4,0.3,1.8,2,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.4,0.3,1.8,2.5,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
SST,threshold,0.4,0.3,1.8,3.0,d' (sensitivity index),-1.8824018569640095,0.06419079729983941
