sheet_name,method,contamination,lower_threshold,upper_threshold,std_dev,metric,t_stat,p_value
EmotionStoop,lof,0.1,0.2,1.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,1.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,1.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,1.8,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,1.8,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,1.8,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.0,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.0,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.0,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.2,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.2,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.2,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.2,2.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.8,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.8,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,1.8,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.0,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.0,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.0,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.2,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.2,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.2,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.3,2.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.8,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.8,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,1.8,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.0,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.0,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.0,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.2,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.2,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.2,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.4,2.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.8,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.8,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,1.8,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.0,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.0,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.0,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.2,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.2,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.2,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.5,2,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.5,2.5,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.1,0.5,2.5,3.0,Reaction Time Standard Deviation (rtsd),-2.2655609315857816,0.025106717500560764
EmotionStoop,lof,0.2,0.2,1.5,2,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,1.5,2.5,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,1.5,3.0,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,1.8,2,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,1.8,2.5,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,1.8,3.0,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
EmotionStoop,lof,0.2,0.2,2.0,2,Reaction Time Standard Deviation (rtsd),-1.8819104109160458,0.06205001837628321
